Transaction_ID,Configuration,Screen Size,Battery Life,RAM,Processor Speeds,Integrated Wireless,HD Size,Bundled Applications,Retail Price
5622,51,15,4,2,1.5,Yes,80,Yes,460.0
52758,695,17,5,4,2.0,Yes,300,Yes,
977,299,15,6,1,1.5,No,80,Yes,490.0
215756,303,15,6,1,1.5,No,300,Yes,525.0
294662,394,15,6,4,1.5,No,40,No,550.0
150118,603,17,5,1,2.0,No,80,Yes,364.0
265452,512,17,4,2,2.0,No,300,No,535.0
147608,666,17,5,2,2.4,No,40,No,343.0
266994,618,17,5,1,2.4,No,40,No,440.0
33870,213,15,5,2,2.0,Yes,120,Yes,485.0
250185,288,15,5,4,2.4,No,300,No,640.0
165363,557,17,4,4,2.0,No,120,Yes,685.0
294119,725,17,6,1,1.5,Yes,120,Yes,600.0
174134,603,17,5,1,2.0,No,80,Yes,520.0
259104,817,17,6,4,1.5,Yes,40,Yes,720.0
69026,166,15,5,1,2.0,Yes,120,No,400.0
192208,749,17,6,1,2.0,No,120,Yes,615.0
203609,447,17,4,1,1.5,No,300,Yes,550.0
113796,598,17,5,1,2.0,Yes,120,No,515.0
151284,100,15,4,4,1.5,Yes,80,No,510.0
246511,212,15,5,2,2.0,Yes,80,No,355.0
197629,777,17,6,2,1.5,No,40,Yes,560.0
37607,318,15,6,1,2.0,No,120,No,465.0
64852,179,15,5,1,2.4,Yes,80,Yes,480.0
136392,191,15,5,1,2.4,No,300,Yes,530.0
7070,8,15,4,1,1.5,Yes,300,No,440.0
18112,364,15,6,2,2.0,No,80,No,
25114,354,15,6,2,2.0,Yes,40,No,465.0
205874,214,15,5,2,2.0,Yes,120,No,385.0
142565,308,15,6,1,2.0,Yes,80,No,450.0
190533,855,17,6,4,2.4,Yes,300,Yes,890.0
286342,473,17,4,1,2.4,No,40,Yes,470.0
274867,310,15,6,1,2.0,Yes,120,No,450.0
187962,526,17,4,2,2.4,No,120,No,520.0
286578,538,17,4,4,1.5,No,40,No,550.0
152863,470,17,4,1,2.4,Yes,120,No,515.0
47552,200,15,5,2,1.5,Yes,300,No,460.0
198319,675,17,5,4,1.5,Yes,80,Yes,680.0
56429,694,17,5,4,2.0,Yes,120,No,675.0
90007,620,17,5,1,2.4,No,80,No,505.0
34961,202,15,5,2,1.5,No,40,No,330.0
297032,76,15,4,2,2.0,No,80,No,305.0
86015,861,17,6,4,2.4,No,120,Yes,810.0
83172,79,15,4,2,2.0,No,300,Yes,485.0
177486,694,17,5,4,2.0,Yes,120,No,675.0
244526,330,15,6,1,2.4,No,40,No,425.0
216367,495,17,4,2,1.5,No,300,Yes,570.0
43096,675,17,5,4,1.5,Yes,80,Yes,680.0
212027,88,15,4,2,2.4,Yes,300,No,500.0
234923,383,15,6,2,2.4,No,300,Yes,620.0
197047,820,17,6,4,1.5,Yes,80,No,710.0
110199,545,17,4,4,2.0,Yes,40,Yes,645.0
198231,856,17,6,4,2.4,Yes,300,No,840.0
9933,363,15,6,2,2.0,No,80,Yes,555.0
218145,159,15,5,1,1.5,No,300,Yes,440.0
216119,703,17,5,4,2.0,No,300,Yes,765.0
65831,624,17,5,1,2.4,No,300,No,590.0
134100,497,17,4,2,2.0,Yes,40,Yes,525.0
113989,618,17,5,1,2.4,No,40,No,460.0
46221,481,17,4,2,1.5,Yes,40,Yes,364.0
110998,623,17,5,1,2.4,No,300,Yes,630.0
26648,21,15,4,1,2.0,Yes,120,Yes,440.0
278310,491,17,4,2,1.5,No,80,Yes,480.0
161234,763,17,6,1,2.4,No,80,Yes,625.0
230814,659,17,5,2,2.4,Yes,80,Yes,580.0
203726,356,15,6,2,2.0,Yes,80,No,445.0
295471,203,15,5,2,1.5,No,80,Yes,350.0
197815,581,17,5,1,1.5,Yes,120,Yes,530.0
94654,789,17,6,2,2.0,Yes,120,Yes,695.0
101557,265,15,5,4,2.0,No,40,Yes,545.0
255413,103,15,4,4,1.5,Yes,300,Yes,640.0
50566,543,17,4,4,1.5,No,300,Yes,504.0
9172,15,15,4,1,1.5,No,300,Yes,465.0
10123,163,15,5,1,2.0,Yes,80,Yes,450.0
220740,194,15,5,2,1.5,Yes,40,No,290.0
240795,851,17,6,4,2.4,Yes,80,Yes,810.0
77858,371,15,6,2,2.4,Yes,80,Yes,600.0
